Data table for: E:\YR 4 LVAY DATA\GT3X+\Hip\1115_V1R3XP_41sec.agd
Date, Time, Axis1,Axis2,Axis3,Inclinometer,Vector Magnitude
4/25/2011,15:50:16,0,0,0,0,0
4/25/2011,15:50:17,0,0,0,0,0
4/25/2011,15:50:18,0,0,0,0,0
4/25/2011,15:50:19,0,0,0,0,0
4/25/2011,15:50:20,0,0,0,0,0
4/25/2011,15:50:21,0,0,0,0,0
4/25/2011,15:50:22,0,0,0,0,0
4/25/2011,15:50:23,0,0,0,0,0
4/25/2011,15:50:24,0,0,0,0,0
4/25/2011,15:50:25,0,0,0,0,0
4/25/2011,15:50:26,0,0,0,0,0
4/25/2011,15:50:27,0,0,0,0,0
4/25/2011,15:50:28,0,0,0,0,0
4/25/2011,15:50:29,0,0,0,0,0
4/25/2011,15:50:30,0,0,0,0,0
4/25/2011,15:50:31,0,0,0,0,0
4/25/2011,15:50:32,0,0,0,0,0
4/25/2011,15:50:33,0,0,0,0,0
4/25/2011,15:50:34,0,0,0,0,0
4/25/2011,15:50:35,0,0,0,0,0
4/25/2011,15:50:36,0,0,0,0,0
4/25/2011,15:50:37,0,0,0,0,0
4/25/2011,15:50:38,0,0,0,0,0
4/25/2011,15:50:39,0,0,0,0,0
4/25/2011,15:50:40,0,0,0,0,0
4/25/2011,15:50:41,0,0,0,0,0
4/25/2011,15:50:42,0,0,0,0,0
4/25/2011,15:50:43,0,0,0,0,0
4/25/2011,15:50:44,0,0,0,0,0
4/25/2011,15:50:45,0,0,0,0,0
4/25/2011,15:50:46,0,0,0,0,0
4/25/2011,15:50:47,0,0,0,0,0
4/25/2011,15:50:48,0,0,0,0,0
4/25/2011,15:50:49,0,0,0,0,0
4/25/2011,15:50:50,0,0,0,0,0
4/25/2011,15:50:51,0,0,0,0,0
4/25/2011,15:50:52,0,0,0,0,0
4/25/2011,15:50:53,0,0,0,0,0
4/25/2011,15:50:54,0,0,0,0,0
4/25/2011,15:50:55,0,0,0,0,0
4/25/2011,15:50:56,0,0,0,0,0
4/25/2011,15:50:57,0,0,0,0,0
4/25/2011,15:50:58,0,0,0,0,0
4/25/2011,15:50:59,0,0,0,0,0
4/25/2011,15:51:00,0,0,0,0,0
4/25/2011,15:51:01,0,0,0,0,0
4/25/2011,15:51:02,0,0,0,0,0
4/25/2011,15:51:03,0,0,0,0,0
4/25/2011,15:51:04,0,0,0,0,0
4/25/2011,15:51:05,0,0,0,0,0
4/25/2011,15:51:06,0,0,0,0,0
4/25/2011,15:51:07,0,0,0,0,0
4/25/2011,15:51:08,0,0,0,0,0
4/25/2011,15:51:09,0,0,0,0,0
4/25/2011,15:51:10,0,0,0,0,0
4/25/2011,15:51:11,0,0,0,0,0
4/25/2011,15:51:12,0,0,0,0,0
4/25/2011,15:51:13,0,0,0,0,0
4/25/2011,15:51:14,0,0,0,0,0
4/25/2011,15:51:15,0,0,0,0,0
4/25/2011,15:51:16,0,0,0,0,0
4/25/2011,15:51:17,0,0,0,0,0
4/25/2011,15:51:18,0,0,0,0,0
4/25/2011,15:51:19,0,0,0,0,0
4/25/2011,15:51:20,0,0,0,0,0
4/25/2011,15:51:21,0,0,0,0,0
4/25/2011,15:51:22,0,0,0,0,0
4/25/2011,15:51:23,0,0,0,0,0
4/25/2011,15:51:24,0,0,0,0,0
4/25/2011,15:51:25,0,0,0,0,0
4/25/2011,15:51:26,0,0,0,0,0
4/25/2011,15:51:27,0,0,0,0,0
4/25/2011,15:51:28,0,0,0,0,0
4/25/2011,15:51:29,0,0,0,0,0
4/25/2011,15:51:30,0,0,0,0,0
4/25/2011,15:51:31,0,0,0,0,0
4/25/2011,15:51:32,0,0,0,0,0
4/25/2011,15:51:33,0,0,0,0,0
4/25/2011,15:51:34,0,0,0,0,0
4/25/2011,15:51:35,0,0,0,0,0
4/25/2011,15:51:36,0,0,0,0,0
4/25/2011,15:51:37,0,0,0,0,0
4/25/2011,15:51:38,0,0,0,0,0
4/25/2011,15:51:39,0,0,0,0,0
4/25/2011,15:51:40,0,0,0,0,0
4/25/2011,15:51:41,0,0,0,0,0
4/25/2011,15:51:42,0,0,0,0,0
4/25/2011,15:51:43,0,0,0,0,0
4/25/2011,15:51:44,0,0,0,0,0
4/25/2011,15:51:45,0,0,0,0,0
4/25/2011,15:51:46,0,0,0,0,0
4/25/2011,15:51:47,0,0,0,0,0
4/25/2011,15:51:48,0,0,0,0,0
4/25/2011,15:51:49,0,0,0,0,0
4/25/2011,15:51:50,0,0,0,0,0
4/25/2011,15:51:51,0,0,0,0,0
4/25/2011,15:51:52,0,0,0,0,0
4/25/2011,15:51:53,0,0,0,0,0
4/25/2011,15:51:54,0,0,0,0,0
4/25/2011,15:51:55,0,0,0,0,0
4/25/2011,15:51:56,0,0,0,0,0
4/25/2011,15:51:57,0,0,0,0,0
4/25/2011,15:51:58,0,0,0,0,0
4/25/2011,15:51:59,0,0,0,0,0
4/25/2011,15:52:00,0,0,0,0,0
4/25/2011,15:52:01,0,0,0,0,0
4/25/2011,15:52:02,0,0,0,0,0
4/25/2011,15:52:03,0,0,0,0,0
4/25/2011,15:52:04,0,0,0,0,0
4/25/2011,15:52:05,0,0,0,0,0
4/25/2011,15:52:06,0,0,0,0,0
4/25/2011,15:52:07,0,0,0,0,0
4/25/2011,15:52:08,0,0,0,0,0
4/25/2011,15:52:09,0,0,0,0,0
4/25/2011,15:52:10,0,0,0,0,0
4/25/2011,15:52:11,0,0,0,0,0
4/25/2011,15:52:12,0,0,0,0,0
4/25/2011,15:52:13,0,0,0,0,0
4/25/2011,15:52:14,0,0,0,0,0
4/25/2011,15:52:15,0,0,0,0,0
4/25/2011,15:52:16,0,0,0,0,0
4/25/2011,15:52:17,0,0,0,0,0
4/25/2011,15:52:18,0,0,0,0,0
4/25/2011,15:52:19,0,0,0,0,0
4/25/2011,15:52:20,0,0,0,0,0
4/25/2011,15:52:21,0,0,0,0,0
4/25/2011,15:52:22,0,0,0,0,0
4/25/2011,15:52:23,0,0,0,0,0
4/25/2011,15:52:24,0,0,0,0,0
4/25/2011,15:52:25,0,0,0,0,0
4/25/2011,15:52:26,0,0,0,0,0
4/25/2011,15:52:27,0,0,0,0,0
4/25/2011,15:52:28,0,0,0,0,0
4/25/2011,15:52:29,0,0,0,0,0
4/25/2011,15:52:30,0,0,0,0,0
4/25/2011,15:52:31,0,0,0,0,0
4/25/2011,15:52:32,0,0,0,0,0
4/25/2011,15:52:33,0,0,0,0,0
4/25/2011,15:52:34,0,0,0,0,0
4/25/2011,15:52:35,0,0,0,0,0
4/25/2011,15:52:36,0,0,0,0,0
4/25/2011,15:52:37,0,0,0,0,0
4/25/2011,15:52:38,0,0,0,0,0
4/25/2011,15:52:39,0,0,0,0,0
4/25/2011,15:52:40,0,0,0,0,0
4/25/2011,15:52:41,0,0,0,0,0
4/25/2011,15:52:42,0,0,0,0,0
4/25/2011,15:52:43,0,0,0,0,0
4/25/2011,15:52:44,0,0,0,0,0
4/25/2011,15:52:45,0,0,0,0,0
4/25/2011,15:52:46,0,0,0,0,0
4/25/2011,15:52:47,0,0,0,0,0
4/25/2011,15:52:48,0,0,0,0,0
4/25/2011,15:52:49,0,0,0,0,0
4/25/2011,15:52:50,0,0,0,0,0
4/25/2011,15:52:51,0,0,0,0,0
4/25/2011,15:52:52,0,0,0,0,0
4/25/2011,15:52:53,0,0,0,0,0
4/25/2011,15:52:54,0,0,0,0,0
4/25/2011,15:52:55,0,0,0,0,0
4/25/2011,15:52:56,0,0,0,0,0
4/25/2011,15:52:57,0,0,0,0,0
4/25/2011,15:52:58,0,0,0,0,0
4/25/2011,15:52:59,0,0,0,0,0
4/25/2011,15:53:00,0,0,0,0,0
4/25/2011,15:53:01,0,0,0,0,0
4/25/2011,15:53:02,0,0,0,0,0
4/25/2011,15:53:03,0,0,0,0,0
4/25/2011,15:53:04,0,0,0,0,0
4/25/2011,15:53:05,0,0,0,0,0
4/25/2011,15:53:06,0,0,0,0,0
4/25/2011,15:53:07,0,0,0,0,0
4/25/2011,15:53:08,0,0,0,0,0
4/25/2011,15:53:09,0,0,0,0,0
4/25/2011,15:53:10,0,0,0,0,0
4/25/2011,15:53:11,0,0,0,0,0
4/25/2011,15:53:12,0,0,0,0,0
4/25/2011,15:53:13,0,0,0,0,0
4/25/2011,15:53:14,0,0,0,0,0
4/25/2011,15:53:15,0,0,0,0,0
4/25/2011,15:53:16,0,0,0,0,0
4/25/2011,15:53:17,0,0,0,0,0
4/25/2011,15:53:18,0,0,0,0,0
4/25/2011,15:53:19,0,0,0,0,0
4/25/2011,15:53:20,0,0,0,0,0
4/25/2011,15:53:21,0,0,0,0,0
4/25/2011,15:53:22,0,0,0,0,0
4/25/2011,15:53:23,0,0,0,0,0
4/25/2011,15:53:24,0,0,0,0,0
4/25/2011,15:53:25,0,0,0,0,0
4/25/2011,15:53:26,0,0,0,0,0
4/25/2011,15:53:27,0,0,0,0,0
4/25/2011,15:53:28,0,0,0,0,0
4/25/2011,15:53:29,0,0,0,0,0
4/25/2011,15:53:30,0,0,0,0,0
4/25/2011,15:53:31,0,0,0,0,0
4/25/2011,15:53:32,0,0,0,0,0
4/25/2011,15:53:33,0,0,0,0,0
4/25/2011,15:53:34,0,0,0,0,0
4/25/2011,15:53:35,0,0,0,0,0
4/25/2011,15:53:36,0,0,0,0,0
4/25/2011,15:53:37,0,0,0,0,0
4/25/2011,15:53:38,0,0,0,0,0
4/25/2011,15:53:39,0,0,0,0,0
4/25/2011,15:53:40,0,0,0,0,0
4/25/2011,15:53:41,0,0,0,0,0
4/25/2011,15:53:42,0,0,0,0,0
4/25/2011,15:53:43,0,0,0,0,0
4/25/2011,15:53:44,0,0,0,0,0
4/25/2011,15:53:45,0,0,0,0,0
4/25/2011,15:53:46,0,0,0,0,0
4/25/2011,15:53:47,0,0,0,0,0
4/25/2011,15:53:48,0,0,0,0,0
4/25/2011,15:53:49,0,0,0,0,0
4/25/2011,15:53:50,0,0,0,0,0
4/25/2011,15:53:51,0,0,0,0,0
4/25/2011,15:53:52,0,0,0,0,0
4/25/2011,15:53:53,0,0,0,0,0
4/25/2011,15:53:54,0,0,0,0,0
4/25/2011,15:53:55,0,0,0,0,0
4/25/2011,15:53:56,0,0,0,0,0
4/25/2011,15:53:57,0,0,0,0,0
4/25/2011,15:53:58,0,0,0,0,0
4/25/2011,15:53:59,0,0,0,0,0
4/25/2011,15:54:00,0,0,0,0,0
4/25/2011,15:54:01,0,0,0,0,0
4/25/2011,15:54:02,0,0,0,0,0
4/25/2011,15:54:03,0,0,0,0,0
4/25/2011,15:54:04,0,0,0,0,0
4/25/2011,15:54:05,0,0,0,0,0
4/25/2011,15:54:06,0,0,0,0,0
4/25/2011,15:54:07,0,0,0,0,0
4/25/2011,15:54:08,0,0,0,0,0
4/25/2011,15:54:09,0,0,0,0,0
4/25/2011,15:54:10,0,0,0,0,0
4/25/2011,15:54:11,0,0,0,0,0
4/25/2011,15:54:12,0,0,0,0,0
4/25/2011,15:54:13,0,0,0,0,0
4/25/2011,15:54:14,0,0,0,0,0
4/25/2011,15:54:15,0,0,0,0,0
4/25/2011,15:54:16,0,0,0,0,0
4/25/2011,15:54:17,0,0,0,0,0
4/25/2011,15:54:18,0,0,0,0,0
4/25/2011,15:54:19,0,0,0,0,0
4/25/2011,15:54:20,0,0,0,0,0
4/25/2011,15:54:21,0,0,0,0,0
4/25/2011,15:54:22,0,0,0,0,0
4/25/2011,15:54:23,0,0,0,0,0
4/25/2011,15:54:24,0,0,0,0,0
4/25/2011,15:54:25,0,0,0,0,0
4/25/2011,15:54:26,0,0,0,0,0
4/25/2011,15:54:27,0,0,0,0,0
4/25/2011,15:54:28,0,0,0,0,0
4/25/2011,15:54:29,0,0,0,0,0
4/25/2011,15:54:30,0,0,0,0,0
4/25/2011,15:54:31,0,0,0,0,0
4/25/2011,15:54:32,0,0,0,0,0
4/25/2011,15:54:33,0,0,0,0,0
4/25/2011,15:54:34,0,0,0,0,0
4/25/2011,15:54:35,0,0,0,0,0
4/25/2011,15:54:36,0,0,0,0,0
4/25/2011,15:54:37,0,0,0,0,0
4/25/2011,15:54:38,0,0,0,0,0
4/25/2011,15:54:39,0,0,0,0,0
4/25/2011,15:54:40,0,0,0,0,0
4/25/2011,15:54:41,0,0,0,0,0
4/25/2011,15:54:42,0,0,0,0,0
4/25/2011,15:54:43,0,0,0,0,0
4/25/2011,15:54:44,0,0,0,0,0
4/25/2011,15:54:45,0,0,0,0,0
4/25/2011,15:54:46,0,0,0,0,0
4/25/2011,15:54:47,0,0,0,0,0
4/25/2011,15:54:48,0,0,0,0,0
4/25/2011,15:54:49,0,0,0,0,0
4/25/2011,15:54:50,0,0,0,0,0
4/25/2011,15:54:51,0,0,0,0,0
4/25/2011,15:54:52,0,0,0,0,0
4/25/2011,15:54:53,0,0,0,0,0
4/25/2011,15:54:54,0,0,0,0,0
4/25/2011,15:54:55,0,0,0,0,0
4/25/2011,15:54:56,0,0,0,0,0
4/25/2011,15:54:57,0,0,0,0,0
4/25/2011,15:54:58,0,0,0,0,0
4/25/2011,15:54:59,0,0,0,0,0
4/25/2011,15:55:00,0,0,0,0,0
